deposit_date,eft_trace,amount
2024-12-30,EFT-MCD-202401-67,331.86
2024-12-30,EFT-SELF-202401-88,0.0
2024-01-14,EFT-MCD-202402-42,262.95
2024-12-31,EFT-COMM2-202401-96,1071.97
2024-01-21,EFT-MCR-202403-34,409.69
2024-12-31,EFT-COMM1-202401-94,1343.85
2024-02-04,EFT-COMM1-202405-59,1285.22
2024-01-28,EFT-COMM2-202404-45,760.57
2023-12-31,EFT-MCD-202352-24,188.59
2024-01-21,EFT-MCD-202403-53,360.82
2024-01-28,EFT-COMM1-202404-62,941.77
2024-12-31,EFT-MCR-202401-33,464.85
2024-01-28,EFT-MCR-202404-75,334.21
2024-01-14,EFT-COMM1-202402-77,321.82
2024-02-03,EFT-SELF-202405-22,0.0
2024-01-21,EFT-COMM1-202403-15,675.52
2024-01-11,EFT-MCR-202402-89,410.06
2024-01-14,EFT-COMM2-202402-57,766.32
2024-01-14,EFT-SELF-202402-52,0.0
2024-01-19,EFT-SELF-202403-86,0.0
2024-01-31,EFT-MCD-202405-24,186.32
2024-01-28,EFT-MCD-202404-42,287.84
2024-02-08,EFT-SELF-202406-92,0.0
2024-02-24,EFT-COMM2-202408-67,327.22
2024-03-01,EFT-MCD-202409-55,233.66
2024-02-03,EFT-COMM2-202405-15,739.99
2024-02-18,EFT-COMM1-202407-14,711.39
2024-03-10,EFT-COMM1-202410-62,1041.94
2024-02-04,EFT-MCR-202405-15,1197.91
2024-03-03,EFT-COMM2-202409-83,982.37
2024-02-11,EFT-MCR-202406-20,848.26
2024-02-10,EFT-MCD-202406-67,110.37
2024-02-11,EFT-COMM2-202406-23,520.26
2024-02-11,EFT-COMM1-202406-75,1340.05
2024-02-17,EFT-COMM2-202407-72,1250.0
2024-02-25,EFT-SELF-202408-98,0.0
2024-02-14,EFT-MCD-202407-91,74.69
2024-02-23,EFT-COMM1-202408-97,463.38
2024-02-24,EFT-MCR-202408-52,215.75
2024-03-02,EFT-MCR-202409-21,366.27
2024-02-15,EFT-SELF-202407-13,0.0
2024-03-02,EFT-COMM1-202409-24,806.19
2024-02-25,EFT-MCD-202408-41,408.49
2024-03-10,EFT-COMM2-202410-58,374.35
2024-03-31,EFT-COMM2-202413-33,739.8
2024-03-17,EFT-COMM1-202411-97,698.33
2024-03-09,EFT-MCR-202410-34,746.24
2024-03-16,EFT-MCD-202411-40,159.64
2024-03-24,EFT-COMM1-202412-25,297.18
2024-03-17,EFT-MCR-202411-47,544.05
2024-03-07,EFT-MCD-202410-99,199.84
2024-03-24,EFT-COMM2-202412-75,419.91
2024-03-01,EFT-SELF-202409-30,0.0
2024-03-09,EFT-SELF-202410-95,0.0
2024-03-17,EFT-SELF-202411-21,0.0
2024-02-18,EFT-MCR-202407-28,202.53
2024-03-24,EFT-SELF-202412-99,0.0
2024-03-31,EFT-COMM1-202413-80,797.59
2024-03-15,EFT-COMM2-202411-73,367.08
2024-04-07,EFT-COMM1-202414-24,765.76
2024-03-31,EFT-MCR-202413-58,797.53
2024-04-28,EFT-COMM1-202417-54,623.65
2024-04-20,EFT-COMM2-202416-60,787.28
2024-04-07,EFT-MCD-202414-57,261.53
2024-03-24,EFT-MCD-202412-94,172.94
2024-04-14,EFT-MCR-202415-72,360.31
2024-03-31,EFT-MCD-202413-67,165.58
2024-04-07,EFT-MCR-202414-17,482.3
2024-04-14,EFT-COMM2-202415-75,543.39
2024-03-28,EFT-SELF-202413-74,0.0
2024-04-14,EFT-COMM1-202415-49,1062.73
2024-04-07,EFT-COMM2-202414-39,797.22
2024-04-21,EFT-MCR-202416-65,578.19
2024-04-21,EFT-COMM1-202416-46,875.17
2024-04-28,EFT-MCR-202417-60,514.12
2024-04-14,EFT-SELF-202415-69,0.0
2024-04-21,EFT-SELF-202416-78,0.0
2024-05-05,EFT-COMM1-202418-19,709.78
2024-03-24,EFT-MCR-202412-27,242.82
2024-04-21,EFT-MCD-202416-98,391.04
2024-04-28,EFT-SELF-202417-45,0.0
2024-04-06,EFT-SELF-202414-54,0.0
2024-04-14,EFT-MCD-202415-13,8.87
2024-04-28,EFT-MCD-202417-21,106.43
2024-05-19,EFT-COMM1-202420-62,978.49
2024-05-11,EFT-MCD-202419-30,210.44
2024-05-05,EFT-MCD-202418-14,464.41
2024-05-26,EFT-COMM1-202421-47,954.38
2024-05-19,EFT-MCR-202420-46,240.69
2024-05-04,EFT-MCR-202418-98,507.7
2024-06-02,EFT-MCR-202422-98,423.7
2024-05-16,EFT-SELF-202420-99,0.0
2024-05-25,EFT-MCD-202421-23,149.98
2024-05-12,EFT-COMM1-202419-91,577.16
2024-05-26,EFT-COMM2-202421-64,785.66
2024-05-03,EFT-COMM2-202418-59,648.45
2024-04-28,EFT-COMM2-202417-24,153.62
2024-05-12,EFT-COMM2-202419-38,786.7
2024-05-05,EFT-SELF-202418-11,0.0
2024-05-30,EFT-MCD-202422-50,47.17
2024-05-29,EFT-SELF-202422-59,0.0
2024-05-22,EFT-MCR-202421-21,214.34
2024-05-11,EFT-MCR-202419-43,262.04
2024-05-19,EFT-MCD-202420-55,150.46
2024-05-16,EFT-COMM2-202420-42,709.02
2024-06-09,EFT-SELF-202423-53,0.0
2024-06-08,EFT-MCD-202423-86,71.36
2024-06-23,EFT-COMM2-202425-50,619.34
2024-06-16,EFT-MCR-202424-50,558.97
2024-06-16,EFT-COMM1-202424-86,908.83
2024-05-26,EFT-SELF-202421-40,0.0
2024-06-09,EFT-COMM1-202423-65,1185.21
2024-06-02,EFT-COMM1-202422-71,1256.71
2024-06-01,EFT-COMM2-202422-21,344.43
2024-07-07,EFT-MCR-202427-83,633.74
2024-06-09,EFT-MCR-202423-90,336.81
2024-06-30,EFT-COMM2-202426-66,729.53
2024-06-22,EFT-SELF-202425-23,0.0
2024-06-25,EFT-SELF-202426-44,0.0
2024-06-22,EFT-MCR-202425-21,635.74
2024-06-15,EFT-SELF-202424-67,0.0
2024-06-21,EFT-MCD-202425-69,149.57
2024-07-07,EFT-COMM1-202427-73,1472.96
2024-06-16,EFT-MCD-202424-11,199.82
2024-06-30,EFT-MCR-202426-37,993.63
2024-06-29,EFT-COMM1-202426-12,778.44
2024-06-09,EFT-COMM2-202423-60,354.94
2024-06-16,EFT-COMM2-202424-52,283.79
2024-06-30,EFT-MCD-202426-77,201.99
2024-06-22,EFT-COMM1-202425-34,536.95
2024-07-05,EFT-MCD-202427-96,192.3
2024-07-14,EFT-COMM1-202428-78,609.76
2024-07-21,EFT-MCR-202429-74,840.23
2024-07-14,EFT-COMM2-202428-38,870.81
2024-07-13,EFT-SELF-202428-67,0.0
2024-07-28,EFT-MCD-202430-93,112.06
2024-07-21,EFT-COMM2-202429-70,617.48
2024-07-13,EFT-MCD-202428-90,159.23
2024-07-27,EFT-COMM2-202430-36,794.79
2024-07-14,EFT-MCR-202428-30,1145.06
2024-07-21,EFT-MCD-202429-97,390.1
2024-07-05,EFT-COMM2-202427-62,228.0
2024-07-28,EFT-MCR-202430-60,463.66
2024-07-28,EFT-COMM1-202430-67,871.06
2024-08-04,EFT-COMM2-202431-17,380.0
2024-07-21,EFT-COMM1-202429-73,783.85
2024-07-27,EFT-SELF-202430-35,0.0
2024-08-01,EFT-SELF-202431-11,0.0
2024-07-17,EFT-SELF-202429-34,0.0
2024-08-11,EFT-MCR-202432-26,536.82
2024-08-16,EFT-COMM1-202433-61,331.62
2024-08-10,EFT-SELF-202432-75,0.0
2024-08-18,EFT-MCR-202433-60,617.37
2024-08-24,EFT-COMM2-202434-68,692.11
2024-08-03,EFT-MCR-202431-30,153.59
2024-08-25,EFT-MCR-202434-81,333.97
2024-08-11,EFT-COMM2-202432-63,430.14
2024-08-04,EFT-COMM1-202431-22,698.52
2024-08-03,EFT-MCD-202431-36,303.98
2024-09-01,EFT-SELF-202435-51,0.0
2024-08-23,EFT-COMM1-202434-55,669.27
2024-08-18,EFT-COMM2-202433-40,804.5
2024-08-10,EFT-MCD-202432-87,198.87
2024-09-01,EFT-MCD-202435-68,363.55
2024-08-25,EFT-MCD-202434-98,338.63
2024-08-18,EFT-SELF-202433-90,0.0
2024-08-11,EFT-COMM1-202432-26,612.16
2024-08-23,EFT-SELF-202434-90,0.0
2024-09-07,EFT-MCR-202436-48,313.31
2024-08-31,EFT-MCR-202435-76,274.86
2024-09-01,EFT-COMM1-202435-50,962.99
2024-09-22,EFT-SELF-202438-16,0.0
2024-09-01,EFT-COMM2-202435-68,747.1
2024-09-13,EFT-SELF-202437-86,0.0
2024-09-22,EFT-COMM1-202438-91,1103.51
2024-09-14,EFT-COMM2-202437-76,660.91
2024-09-13,EFT-MCD-202437-24,204.74
2024-09-06,EFT-COMM1-202436-56,516.83
2024-09-15,EFT-COMM1-202437-78,918.84
2024-09-06,EFT-COMM2-202436-81,528.78
2024-09-29,EFT-MCD-202439-17,203.98
2024-09-08,EFT-SELF-202436-44,0.0
2024-09-15,EFT-MCR-202437-28,379.53
2024-08-17,EFT-MCD-202433-40,118.21
2024-09-29,EFT-MCR-202439-18,549.02
2024-09-04,EFT-MCD-202436-56,162.06
2024-09-22,EFT-COMM2-202438-31,606.41
2024-09-29,EFT-COMM1-202439-86,240.96
2024-09-21,EFT-MCR-202438-93,606.68
2024-10-05,EFT-COMM2-202440-11,863.5
2024-10-20,EFT-MCR-202442-15,316.87
2024-10-05,EFT-COMM1-202440-22,599.49
2024-10-12,EFT-MCD-202441-49,256.95
2024-10-06,EFT-MCD-202440-34,367.75
2024-09-29,EFT-COMM2-202439-10,884.29
2024-10-27,EFT-MCR-202443-66,453.59
2024-10-25,EFT-COMM2-202443-10,467.33
2024-10-20,EFT-COMM1-202442-38,812.51
2024-10-12,EFT-COMM1-202441-16,817.4
2024-10-09,EFT-SELF-202441-40,0.0
2024-11-03,EFT-COMM1-202444-52,829.6
2024-10-26,EFT-MCD-202443-71,162.06
2024-10-13,EFT-MCR-202441-88,225.74
2024-10-19,EFT-COMM2-202442-88,651.69
2024-10-06,EFT-MCR-202440-24,483.49
2024-10-06,EFT-SELF-202440-49,0.0
2024-10-27,EFT-COMM1-202443-20,1118.0
2024-10-13,EFT-COMM2-202441-78,406.15
2024-09-22,EFT-MCD-202438-24,171.77
2024-11-03,EFT-MCR-202444-25,509.84
2024-10-17,EFT-SELF-202442-66,0.0
2024-09-28,EFT-SELF-202439-35,0.0
2024-10-18,EFT-MCD-202442-82,156.02
2024-11-10,EFT-MCR-202445-97,638.73
2024-11-16,EFT-COMM1-202446-89,379.0
2024-11-10,EFT-MCD-202445-40,476.12
2024-11-16,EFT-SELF-202446-28,0.0
2024-11-16,EFT-MCD-202446-59,297.44
2024-11-07,EFT-COMM2-202445-28,482.7
2024-11-24,EFT-COMM1-202447-26,1174.03
2024-11-24,EFT-MCR-202447-77,352.47
2024-11-03,EFT-COMM2-202444-27,457.64
2024-10-30,EFT-MCD-202444-94,39.91
2024-11-29,EFT-COMM1-202448-90,698.75
2024-10-23,EFT-SELF-202443-21,0.0
2024-12-08,EFT-MCR-202449-13,455.02
2024-11-24,EFT-SELF-202447-14,0.0
2024-11-08,EFT-COMM1-202445-44,371.26
2024-11-09,EFT-SELF-202445-91,0.0
2024-11-15,EFT-COMM2-202446-41,781.85
2024-11-15,EFT-MCR-202446-37,229.3
2024-11-03,EFT-SELF-202444-49,0.0
2024-11-23,EFT-COMM2-202447-62,946.81
2024-12-27,EFT-MCD-202452-77,120.8
2024-12-15,EFT-COMM1-202450-92,1294.61
2024-12-08,EFT-COMM1-202449-93,846.47
2024-12-14,EFT-MCR-202450-88,395.99
2024-12-22,EFT-COMM2-202451-57,925.79
2024-11-28,EFT-MCD-202448-60,101.19
2024-12-22,EFT-COMM1-202451-71,1392.78
2024-12-13,EFT-COMM2-202450-70,380.31
2024-12-08,EFT-MCD-202449-50,190.69
2024-12-14,EFT-MCD-202450-18,363.64
2024-12-06,EFT-SELF-202449-66,0.0
2024-12-28,EFT-COMM1-202452-54,447.9
2024-11-25,EFT-SELF-202448-60,0.0
2024-12-01,EFT-MCR-202448-37,185.14
2024-12-29,EFT-MCR-202452-74,912.71
2024-12-01,EFT-COMM2-202448-23,318.55
2024-12-22,EFT-MCD-202451-12,194.32
2024-12-26,EFT-COMM2-202452-88,554.64
2025-12-31,EFT-MCR-202501-96,647.27
2024-12-22,EFT-SELF-202451-38,0.0
2024-12-15,EFT-SELF-202450-84,0.0
2024-12-06,EFT-COMM2-202449-45,334.73
2025-12-31,EFT-COMM2-202501-32,682.38
2024-11-21,EFT-MCD-202447-49,17.74
2025-12-31,EFT-COMM1-202501-70,1043.5
2025-01-12,EFT-MCR-202502-40,410.14
2024-12-19,EFT-MCR-202451-24,368.84
2025-01-26,EFT-MCD-202504-22,195.53
2025-01-17,EFT-MCR-202503-54,782.08
2025-01-26,EFT-COMM2-202504-30,759.11
2025-01-12,EFT-COMM2-202502-88,710.72
2025-01-19,EFT-COMM2-202503-18,709.1
2025-01-12,EFT-SELF-202502-81,0.0
2025-12-31,EFT-SELF-202501-87,0.0
2024-12-28,EFT-SELF-202452-87,0.0
2025-01-12,EFT-COMM1-202502-45,459.88
2025-01-12,EFT-MCD-202502-43,283.81
2025-12-31,EFT-MCD-202501-78,114.23
2025-01-19,EFT-COMM1-202503-87,960.4
2025-01-25,EFT-MCR-202504-17,575.34
2025-01-25,EFT-COMM1-202504-38,669.27
2025-02-01,EFT-MCD-202505-93,136.15
2025-01-18,EFT-MCD-202503-86,186.13
2025-02-09,EFT-MCR-202506-24,415.15
2025-03-01,EFT-MCR-202509-81,637.63
2025-02-16,EFT-MCR-202507-83,611.68
2025-02-09,EFT-MCD-202506-87,251.15
2025-02-21,EFT-MCR-202508-57,282.72
2025-02-02,EFT-MCR-202505-93,830.28
2025-02-14,EFT-MCD-202507-85,157.02
2025-02-14,EFT-COMM2-202507-96,512.91
2025-02-02,EFT-COMM2-202505-48,725.27
2025-03-09,EFT-COMM2-202510-14,586.82
2025-02-09,EFT-COMM1-202506-63,533.43
2025-01-23,EFT-SELF-202504-46,0.0
2025-02-22,EFT-MCD-202508-59,76.6
2025-02-22,EFT-COMM1-202508-22,1119.71
2025-02-01,EFT-COMM1-202505-54,652.07
2025-02-13,EFT-SELF-202507-12,0.0
2025-02-15,EFT-COMM1-202507-35,346.2
2025-02-08,EFT-COMM2-202506-72,323.83
2025-02-20,EFT-SELF-202508-14,0.0
2025-03-09,EFT-MCR-202510-70,482.55
2025-01-16,EFT-SELF-202503-33,0.0
2025-02-21,EFT-COMM2-202508-16,532.59
2025-03-02,EFT-COMM1-202509-17,870.29
2025-02-02,EFT-SELF-202505-96,0.0
2025-03-23,EFT-COMM2-202512-32,522.51
2025-04-05,EFT-MCR-202514-65,583.34
2025-03-09,EFT-COMM1-202510-38,706.48
2025-03-16,EFT-SELF-202511-33,0.0
2025-03-23,EFT-MCD-202512-77,217.42
2025-03-01,EFT-COMM2-202509-68,803.26
2025-03-16,EFT-COMM1-202511-83,760.07
2025-03-07,EFT-MCD-202510-54,130.06
2025-03-30,EFT-COMM1-202513-80,941.17
2025-03-14,EFT-COMM2-202511-18,730.73
2025-02-04,EFT-SELF-202506-96,0.0
2025-03-30,EFT-MCR-202513-12,762.31
2025-03-08,EFT-SELF-202510-55,0.0
2025-03-16,EFT-MCD-202511-45,161.0
2025-03-22,EFT-COMM1-202512-36,620.28
2025-03-20,EFT-SELF-202512-17,0.0
2025-03-30,EFT-MCD-202513-90,259.71
2025-03-15,EFT-MCR-202511-57,555.64
2025-03-02,EFT-SELF-202509-62,0.0
2025-03-02,EFT-MCD-202509-31,75.21
2025-03-23,EFT-MCR-202512-97,564.65
2025-04-06,EFT-COMM1-202514-27,834.04
2025-04-12,EFT-MCD-202515-59,182.15
2025-04-18,EFT-MCD-202516-21,158.65
2025-04-06,EFT-COMM2-202514-32,496.58
2025-04-19,EFT-MCR-202516-46,700.97
2025-05-03,EFT-COMM2-202518-11,513.07
2025-04-17,EFT-COMM2-202516-18,1001.79
2025-04-13,EFT-COMM2-202515-36,559.67
2025-05-03,EFT-MCR-202518-77,710.03
2025-04-20,EFT-COMM1-202516-43,801.08
2025-04-11,EFT-COMM1-202515-28,290.46
2025-04-06,EFT-MCD-202514-45,208.01
2025-04-13,EFT-SELF-202515-82,0.0
2025-03-28,EFT-SELF-202513-31,0.0
2025-04-13,EFT-MCR-202515-21,687.11
2025-04-27,EFT-MCD-202517-47,271.64
2025-04-03,EFT-SELF-202514-10,0.0
2025-03-26,EFT-COMM2-202513-83,262.98
2025-05-03,EFT-MCD-202518-73,114.0
2025-04-27,EFT-COMM1-202517-31,743.34
2025-04-26,EFT-COMM2-202517-94,352.0
2025-04-26,EFT-MCR-202517-81,359.14
2025-05-18,EFT-COMM2-202520-63,540.57
2025-05-11,EFT-MCR-202519-70,554.95
2025-05-17,EFT-SELF-202520-54,0.0
2025-05-11,EFT-COMM2-202519-87,495.78
2025-05-03,EFT-COMM1-202518-45,703.15
2025-05-10,EFT-SELF-202519-40,0.0
2025-05-24,EFT-SELF-202521-14,0.0
2025-05-03,EFT-SELF-202518-62,0.0
2025-05-18,EFT-COMM1-202520-85,638.44
2025-05-25,EFT-MCR-202521-38,795.04
2025-05-11,EFT-COMM1-202519-74,541.37
2025-05-18,EFT-MCR-202520-49,652.52
2025-04-19,EFT-SELF-202516-85,0.0
2025-05-24,EFT-COMM1-202521-17,1046.06
2025-06-01,EFT-COMM1-202522-40,1166.02
2025-05-18,EFT-MCD-202520-53,61.5
2025-05-24,EFT-COMM2-202521-74,739.34
2025-04-27,EFT-SELF-202517-21,0.0
2025-05-09,EFT-MCD-202519-89,235.83
2025-05-31,EFT-MCR-202522-82,562.58
2025-06-01,EFT-COMM2-202522-16,547.66
2025-06-07,EFT-COMM1-202523-31,858.84
2025-05-29,EFT-MCD-202522-12,230.34
2025-06-15,EFT-MCR-202524-60,586.78
2025-06-15,EFT-SELF-202524-29,0.0
2025-06-15,EFT-COMM2-202524-81,629.36
2025-06-20,EFT-MCR-202525-10,173.68
2025-06-22,EFT-MCD-202525-70,154.34
2025-05-23,EFT-MCD-202521-37,96.76
2025-06-29,EFT-COMM1-202526-56,892.32
2025-06-15,EFT-COMM1-202524-75,863.88
2025-06-22,EFT-COMM1-202525-40,1035.47
2025-06-08,EFT-COMM2-202523-97,253.02
2025-06-08,EFT-MCR-202523-29,433.17
2025-06-08,EFT-MCD-202523-73,240.13
2025-06-27,EFT-MCD-202526-12,141.03
2025-06-13,EFT-MCD-202524-95,169.63
2025-05-28,EFT-SELF-202522-70,0.0
2025-06-29,EFT-MCR-202526-83,440.09
2025-06-28,EFT-SELF-202526-68,0.0
2025-07-05,EFT-MCR-202527-91,445.64
2025-06-21,EFT-COMM2-202525-10,617.9
2025-07-11,EFT-COMM2-202528-92,272.65
2025-08-02,EFT-COMM1-202531-89,857.53
2025-07-20,EFT-MCR-202529-76,240.12
2025-07-06,EFT-SELF-202527-24,0.0
2025-07-26,EFT-SELF-202530-53,0.0
2025-07-06,EFT-COMM1-202527-85,882.28
2025-07-20,EFT-COMM1-202529-16,904.04
2025-07-26,EFT-COMM2-202530-64,579.85
2025-06-06,EFT-SELF-202523-82,0.0
2025-07-13,EFT-COMM1-202528-37,574.24
2025-07-20,EFT-SELF-202529-86,0.0
2025-07-27,EFT-MCR-202530-87,795.75
2025-06-28,EFT-COMM2-202526-36,294.65
2025-08-02,EFT-COMM2-202531-48,623.06
2025-07-03,EFT-COMM2-202527-46,243.56
2025-07-12,EFT-MCD-202528-91,170.8
2025-06-17,EFT-SELF-202525-92,0.0
2025-07-27,EFT-MCD-202530-31,220.95
2025-07-10,EFT-SELF-202528-56,0.0
2025-07-27,EFT-COMM1-202530-96,875.56
2025-07-13,EFT-MCR-202528-63,236.65
2025-07-03,EFT-MCD-202527-54,188.04
2025-07-17,EFT-MCD-202529-92,166.79
2025-07-20,EFT-COMM2-202529-68,364.56
2025-08-10,EFT-MCR-202532-74,928.64
2025-08-10,EFT-COMM1-202532-61,1078.15
2025-08-24,EFT-COMM1-202534-57,1207.89
2025-08-17,EFT-COMM1-202533-58,832.91
2025-08-09,EFT-COMM2-202532-43,203.12
2025-08-10,EFT-SELF-202532-11,0.0
2025-08-10,EFT-MCD-202532-58,272.8
2025-08-17,EFT-MCR-202533-56,493.35
2025-08-01,EFT-MCR-202531-68,409.62
2025-08-31,EFT-COMM2-202535-78,800.02
2025-08-23,EFT-MCR-202534-30,187.52
2025-08-17,EFT-COMM2-202533-32,611.82
2025-08-03,EFT-MCD-202531-93,123.39
2025-08-23,EFT-SELF-202534-19,0.0
2025-08-31,EFT-MCR-202535-84,469.18
2025-08-17,EFT-SELF-202533-79,0.0
2025-08-31,EFT-COMM1-202535-42,406.34
2025-08-24,EFT-COMM2-202534-40,577.69
2025-08-01,EFT-SELF-202531-40,0.0
2025-10-05,EFT-MCR-202540-49,903.28
2025-09-27,EFT-COMM1-202539-13,503.95
2025-09-07,EFT-COMM2-202536-35,733.84
2025-09-19,EFT-SELF-202538-11,0.0
2025-09-10,EFT-SELF-202537-79,0.0
2025-09-04,EFT-MCD-202536-39,177.08
2025-09-14,EFT-MCR-202537-71,1118.2
2025-09-13,EFT-MCD-202537-22,159.81
2025-09-27,EFT-MCD-202539-30,339.62
2025-09-21,EFT-COMM1-202538-91,823.37
2025-08-23,EFT-MCD-202534-49,70.11
2025-09-20,EFT-MCD-202538-15,137.1
2025-09-26,EFT-SELF-202539-60,0.0
2025-09-07,EFT-COMM1-202536-24,703.16
2025-10-03,EFT-SELF-202540-54,0.0
2025-09-07,EFT-SELF-202536-90,0.0
2025-09-07,EFT-MCR-202536-92,576.44
2025-09-08,EFT-COMM2-202537-38,63.64
2025-09-13,EFT-COMM1-202537-40,1079.8
2025-09-17,EFT-MCR-202538-95,343.9
2025-09-28,EFT-MCR-202539-68,660.14
2025-08-31,EFT-MCD-202535-85,78.35
2025-09-21,EFT-COMM2-202538-46,478.74
2025-10-05,EFT-COMM1-202540-91,1333.43
2025-09-26,EFT-COMM2-202539-70,289.95
2025-10-04,EFT-MCD-202540-17,270.69
2025-10-12,EFT-MCR-202541-12,953.51
2025-10-12,EFT-COMM1-202541-99,1392.03
2025-10-12,EFT-COMM2-202541-33,554.63
2025-10-19,EFT-COMM1-202542-50,782.66
2025-10-04,EFT-COMM2-202540-52,600.28
2025-10-26,EFT-MCR-202543-41,457.92
2025-10-12,EFT-MCD-202541-46,110.46
2025-10-19,EFT-COMM2-202542-23,681.2
