_mock_label,post_date,value_date,description,transaction_type,amount,running_balance,bank_reference,eft_trace
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-21,2023-08-21,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230821,CREDIT,30.91,24396.07,REF3642685,EFT-TENNCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-22,2023-08-22,ACH CREDIT PAYER REMIT EFT-MCARE-20230821,CREDIT,69.92,24465.99,REF1696517,EFT-MCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-23,2023-08-23,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230821,CREDIT,16.82,24482.81,REF6650672,EFT-BCBSTN-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-23,2023-08-23,ACH CREDIT PAYER REMIT EFT-CIGNA-20230821,CREDIT,180.15,24662.96,REF8661634,EFT-CIGNA-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-23,2023-08-23,ACH CREDIT PAYER REMIT EFT-MCARE-20230821,CREDIT,56.31,24719.27,REF1389077,EFT-MCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-23,2023-08-23,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230821,CREDIT,11.42,24730.69,REF5268349,EFT-TENNCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-23,2023-08-23,ACH CREDIT PAYER REMIT EFT-UHC-20230821,CREDIT,44.85,24775.54,REF5079177,EFT-UHC-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-24,2023-08-24,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230821,CREDIT,160.5,24936.04,REF2452452,EFT-BCBSTN-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-24,2023-08-24,ACH CREDIT PAYER REMIT EFT-CIGNA-20230821,CREDIT,122.89,25058.93,REF7118285,EFT-CIGNA-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-24,2023-08-24,ACH CREDIT PAYER REMIT EFT-MCARE-20230821,CREDIT,7.67,25066.6,REF1376254,EFT-MCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-24,2023-08-24,INTEREST CREDIT,CREDIT,31.12,25097.72,REF1045013,
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-26,2023-08-26,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230821,CREDIT,133.98,25231.7,REF4952547,EFT-BCBSTN-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-26,2023-08-26,ACH CREDIT PAYER REMIT EFT-CIGNA-20230821,CREDIT,69.19,25300.89,REF4708879,EFT-CIGNA-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-26,2023-08-26,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230821,CREDIT,43.38,25344.27,REF5564561,EFT-TENNCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-27,2023-08-27,ACH CREDIT PAYER REMIT EFT-MCARE-20230821,CREDIT,77.79,25422.06,REF5021458,EFT-MCARE-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-28,2023-08-28,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230828,CREDIT,189.78,25611.84,REF5321688,EFT-BCBSTN-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-28,2023-08-28,ACH CREDIT PAYER REMIT EFT-MCARE-20230828,CREDIT,63.04,25674.88,REF4201115,EFT-MCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-29,2023-08-29,ACH CREDIT PAYER REMIT EFT-MCARE-20230828,CREDIT,36.18,25711.06,REF8131689,EFT-MCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-29,2023-08-29,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230828,CREDIT,48.18,25759.24,REF6268838,EFT-TENNCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-30,2023-08-30,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230828,CREDIT,228.22,25987.46,REF6796657,EFT-BCBSTN-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-30,2023-08-30,ACH CREDIT PAYER REMIT EFT-CIGNA-20230828,CREDIT,140.02,26127.48,REF7160696,EFT-CIGNA-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-30,2023-08-30,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230828,CREDIT,39.74,26167.22,REF9608183,EFT-TENNCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-30,2023-08-30,ACH CREDIT PAYER REMIT EFT-UHC-20230828,CREDIT,65.7,26232.92,REF9296586,EFT-UHC-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-31,2023-08-31,ACH CREDIT PAYER REMIT EFT-UHC-20230828,CREDIT,218.88,26451.8,REF1571725,EFT-UHC-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-01,2023-09-01,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230828,CREDIT,0.89,26452.69,REF5787271,EFT-SELFPAY-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-01,2023-09-01,ACH CREDIT PAYER REMIT EFT-UHC-20230828,CREDIT,106.66,26559.35,REF2471028,EFT-UHC-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-02,2023-09-02,ACH CREDIT PAYER REMIT EFT-CIGNA-20230828,CREDIT,14.24,26573.59,REF5729283,EFT-CIGNA-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-02,2023-09-02,ACH CREDIT PAYER REMIT EFT-MCARE-20230828,CREDIT,48.58,26622.17,REF9948678,EFT-MCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-03,2023-09-03,ACH CREDIT PAYER REMIT EFT-CIGNA-20230828,CREDIT,133.64,26755.81,REF5115860,EFT-CIGNA-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-03,2023-09-03,ACH CREDIT PAYER REMIT EFT-MCARE-20230828,CREDIT,102.42,26858.23,REF1207123,EFT-MCARE-20230828
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-04,2023-09-04,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230904,CREDIT,204.5,27062.73,REF3099281,EFT-BCBSTN-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-04,2023-09-04,ACH CREDIT PAYER REMIT EFT-CIGNA-20230904,CREDIT,61.99,27124.72,REF6281883,EFT-CIGNA-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-04,2023-09-04,ACH CREDIT PAYER REMIT EFT-MCARE-20230904,CREDIT,92.31,27217.03,REF5507163,EFT-MCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-04,2023-09-04,ACH CREDIT PAYER REMIT EFT-UHC-20230904,CREDIT,65.02,27282.05,REF7526750,EFT-UHC-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-05,2023-09-05,ACH CREDIT PAYER REMIT EFT-MCARE-20230904,CREDIT,80.02,27362.07,REF2798843,EFT-MCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-05,2023-09-05,ACH CREDIT PAYER REMIT EFT-UHC-20230904,CREDIT,181.81,27543.88,REF8908474,EFT-UHC-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-06,2023-09-06,ACH CREDIT PAYER REMIT EFT-CIGNA-20230904,CREDIT,95.38,27639.26,REF2675948,EFT-CIGNA-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-06,2023-09-06,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230904,CREDIT,32.63,27671.89,REF4795837,EFT-TENNCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-07,2023-09-07,ACH CREDIT PAYER REMIT EFT-CIGNA-20230904,CREDIT,106.2,27778.09,REF2047231,EFT-CIGNA-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-07,2023-09-07,ACH CREDIT PAYER REMIT EFT-MCARE-20230904,CREDIT,65.56,27843.65,REF7372238,EFT-MCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-07,2023-09-07,ACH CREDIT PAYER REMIT EFT-UHC-20230904,CREDIT,71.42,27915.07,REF4654905,EFT-UHC-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-08,2023-09-08,ACH CREDIT PAYER REMIT EFT-CIGNA-20230904,CREDIT,142.4,28057.47,REF2430548,EFT-CIGNA-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-08,2023-09-08,ACH CREDIT PAYER REMIT EFT-MCARE-20230904,CREDIT,97.45,28154.92,REF3965277,EFT-MCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-08,2023-09-08,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230904,CREDIT,13.14,28168.06,REF4998083,EFT-TENNCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-08,2023-09-08,ACH CREDIT PAYER REMIT EFT-UHC-20230904,CREDIT,231.65,28399.71,REF5886592,EFT-UHC-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-09,2023-09-09,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230904,CREDIT,63.17,28462.88,REF9362594,EFT-BCBSTN-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-09,2023-09-09,ACH CREDIT PAYER REMIT EFT-MCARE-20230904,CREDIT,59.89,28522.77,REF8416204,EFT-MCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-09,2023-09-09,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230904,CREDIT,14.05,28536.82,REF3650804,EFT-SELFPAY-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-09,2023-09-09,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230904,CREDIT,11.34,28548.16,REF1537529,EFT-TENNCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-09,2023-09-09,ACH CREDIT PAYER REMIT EFT-UHC-20230904,CREDIT,63.64,28611.8,REF7406929,EFT-UHC-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-10,2023-09-10,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230904,CREDIT,16.64,28628.44,REF8361191,EFT-TENNCARE-20230904
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-11,2023-09-11,ACH CREDIT PAYER REMIT EFT-CIGNA-20230911,CREDIT,172.13,28800.57,REF9299794,EFT-CIGNA-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-11,2023-09-11,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230911,CREDIT,19.29,28819.86,REF3014012,EFT-TENNCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-12,2023-09-12,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230911,CREDIT,13.18,28833.04,REF3968263,EFT-TENNCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-13,2023-09-13,ACH CREDIT PAYER REMIT EFT-MCARE-20230911,CREDIT,163.95,28996.99,REF2863492,EFT-MCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-14,2023-09-14,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230911,CREDIT,149.09,29146.08,REF2041067,EFT-BCBSTN-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-14,2023-09-14,ACH CREDIT PAYER REMIT EFT-CIGNA-20230911,CREDIT,150.56,29296.64,REF8625525,EFT-CIGNA-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-14,2023-09-14,ACH CREDIT PAYER REMIT EFT-UHC-20230911,CREDIT,181.16,29477.8,REF7098306,EFT-UHC-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-15,2023-09-15,ACH CREDIT PAYER REMIT EFT-CIGNA-20230911,CREDIT,69.32,29547.12,REF7039960,EFT-CIGNA-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-15,2023-09-15,ACH CREDIT PAYER REMIT EFT-MCARE-20230911,CREDIT,67.82,29614.94,REF6487516,EFT-MCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-15,2023-09-15,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230911,CREDIT,1.77,29616.71,REF9354678,EFT-SELFPAY-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-15,2023-09-15,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230911,CREDIT,28.09,29644.8,REF2415672,EFT-TENNCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-16,2023-09-16,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230911,CREDIT,16.15,29660.95,REF9521124,EFT-BCBSTN-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-16,2023-09-16,ACH CREDIT PAYER REMIT EFT-UHC-20230911,CREDIT,116.29,29777.24,REF6775866,EFT-UHC-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-17,2023-09-17,ACH CREDIT PAYER REMIT EFT-MCARE-20230911,CREDIT,49.67,29826.91,REF2831457,EFT-MCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-17,2023-09-17,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230911,CREDIT,28.26,29855.17,REF9371490,EFT-TENNCARE-20230911
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-17,2023-09-17,INTEREST CREDIT,CREDIT,37.59,29892.76,REF2085885,
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-18,2023-09-18,ACH CREDIT PAYER REMIT EFT-UHC-20230918,CREDIT,121.62,30014.38,REF7556203,EFT-UHC-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-18,2023-09-18,ACCOUNT ANALYSIS FEE,DEBIT,-142.21,29872.17,REF2140180,
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-18,2023-09-18,BOOK TRANSFER TO OPERATING 8841,DEBIT,-4146.68,25725.49,REF5092875,
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-19,2023-09-19,ACH CREDIT PAYER REMIT EFT-MCARE-20230918,CREDIT,19.14,25744.63,REF2228809,EFT-MCARE-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-20,2023-09-20,ACH CREDIT PAYER REMIT EFT-CIGNA-20230918,CREDIT,161.02,25905.65,REF9126955,EFT-CIGNA-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-20,2023-09-20,ACH CREDIT PAYER REMIT EFT-MCARE-20230918,CREDIT,127.33,26032.98,REF9169708,EFT-MCARE-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-21,2023-09-21,ACH CREDIT PAYER REMIT EFT-MCARE-20230918,CREDIT,50.7,26083.68,REF2998060,EFT-MCARE-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-21,2023-09-21,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230918,CREDIT,22.66,26106.34,REF1923509,EFT-TENNCARE-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-21,2023-09-21,ACH CREDIT PAYER REMIT EFT-UHC-20230918,CREDIT,110.57,26216.91,REF4401848,EFT-UHC-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-23,2023-09-23,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230918,CREDIT,77.83,26294.74,REF1262667,EFT-TENNCARE-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-24,2023-09-24,ACH CREDIT PAYER REMIT EFT-CIGNA-20230918,CREDIT,108.53,26403.27,REF8968041,EFT-CIGNA-20230918
MOCK_RAD_GROUP_DEMO_ONLY,2023-09-24,2023-09-24,ACH CREDIT PAYER REMIT EFT-MCARE-20230918,CREDIT,20.86,26424.13,REF7132564,EFT-MCARE-20230918
