_mock_label,cpt_code,service_year,work_rvu,conversion_factor,source_note
MOCK_RAD_GROUP_DEMO_ONLY,71250,2025,1.08,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71250,2026,1.053,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71260,2023,1.16,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71260,2024,1.16,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71260,2025,1.16,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71260,2026,1.131,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71275,2023,1.75,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71275,2024,1.75,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71275,2025,1.75,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71275,2026,1.7063,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74176,2023,1.74,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74176,2024,1.74,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74176,2025,1.74,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74176,2026,1.6965,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74177,2023,1.82,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74177,2024,1.82,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74177,2025,1.82,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74177,2026,1.7745,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74178,2023,2.01,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74178,2024,2.01,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74178,2025,2.01,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74178,2026,1.9597,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72125,2023,1.16,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72125,2024,1.16,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72125,2025,1.16,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72125,2026,1.131,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72131,2023,1.16,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72131,2024,1.16,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72131,2025,1.16,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72131,2026,1.131,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72192,2023,1.09,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72192,2024,1.09,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72192,2025,1.09,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72192,2026,1.0628,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70551,2023,1.48,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70551,2024,1.48,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70551,2025,1.48,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70551,2026,1.443,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70553,2023,2.29,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70553,2024,2.29,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70553,2025,2.29,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70553,2026,2.2327,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72141,2023,1.48,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72141,2024,1.48,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72141,2025,1.48,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72141,2026,1.443,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72148,2023,1.48,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72148,2024,1.48,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72148,2025,1.48,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72148,2026,1.443,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72158,2023,1.78,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72158,2024,1.78,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72158,2025,1.78,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,72158,2026,1.7355,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73721,2023,1.35,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73721,2024,1.35,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73721,2025,1.35,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73721,2026,1.3163,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73221,2023,1.35,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73221,2024,1.35,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73221,2025,1.35,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73221,2026,1.3163,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76700,2023,0.81,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76700,2024,0.81,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76700,2025,0.81,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76700,2026,0.7898,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76705,2023,0.59,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76705,2024,0.59,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76705,2025,0.59,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76705,2026,0.5752,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76770,2023,0.74,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76770,2024,0.74,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76770,2025,0.74,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76770,2026,0.7215,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,93970,2023,0.62,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,93970,2024,0.62,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,93970,2025,0.62,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,93970,2026,0.6045,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76536,2023,0.56,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76536,2024,0.56,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76536,2025,0.56,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,76536,2026,0.546,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77067,2023,0.7,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77067,2024,0.7,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77067,2025,0.7,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77067,2026,0.6825,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77065,2023,0.69,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77065,2024,0.69,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77065,2025,0.69,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,77065,2026,0.6727,31.54,Public CMS MPFS (illustrative work RVU)
