deposit_date,eft_trace,amount,description
2025-02-10,EFT20250210029,76.22,PAYER EFT
2025-02-10,EFT20250210030,88.82,PAYER EFT
2025-02-10,EFT20250210033,218.62,PAYER EFT
2025-02-10,EFT20250210034,33.65,PAYER EFT
2025-02-10,EFT20250210037,420.55,PAYER EFT
2025-02-11,EFT20250211001,48.2,PAYER EFT
2025-02-11,EFT20250211006,16.05,PAYER EFT
2025-02-11,EFT20250211009,113.23,PAYER EFT
2025-02-11,EFT20250211016,84.11,PAYER EFT
2025-02-11,EFT20250211020,193.31,PAYER EFT
2025-02-11,EFT20250211021,44.97,PAYER EFT
2025-02-11,EFT20250211026,133.61,PAYER EFT
2025-02-12,EFT20250212002,275.36,PAYER EFT
2025-02-12,EFT20250212005,42.06,PAYER EFT
2025-02-12,EFT20250212009,98.34,PAYER EFT
2025-02-12,EFT20250212013,185.04,PAYER EFT
2025-02-12,EFT20250212014,555.13,PAYER EFT
2025-02-12,EFT20250212031,25.88,PAYER EFT
2025-02-12,EFT20250212035,25.88,PAYER EFT
2025-02-12,EFT20250212039,219.66,PAYER EFT
2025-02-13,EFT20250213004,31.6,PAYER EFT
2025-02-13,EFT20250213006,108.73,PAYER EFT
2025-02-13,EFT20250213009,55.51,PAYER EFT
2025-02-13,EFT20250213011,84.11,PAYER EFT
2025-02-13,EFT20250213015,90.58,PAYER EFT
2025-02-13,EFT20250213022,39.7,PAYER EFT
2025-02-13,EFT20250213023,65.27,PAYER EFT
2025-02-13,EFT20250213029,76.22,PAYER EFT
2025-02-13,EFT20250213030,352.62,PAYER EFT
2025-02-13,EFT20250213038,99.25,PAYER EFT
2025-02-14,EFT20250214007,71.14,PAYER EFT
2025-02-14,EFT20250214011,183.59,PAYER EFT
2025-02-14,EFT20250214013,33.65,PAYER EFT
2025-02-14,EFT20250214014,21.97,PAYER EFT
2025-02-14,EFT20250214015,31.6,PAYER EFT
2025-02-14,EFT20250214016,113.23,PAYER EFT
2025-02-14,EFT20250214021,148.81,PAYER EFT
2025-02-14,EFT20250214022,44.97,PAYER EFT
2025-02-14,EFT20250214027,88.32,PAYER EFT
2025-02-14,EFT20250214035,70.2,PAYER EFT
2025-02-14,EFT20250214036,85.4,PAYER EFT
2025-02-15,EFT20250215007,129.82,PAYER EFT
2025-02-15,EFT20250215008,51.76,PAYER EFT
2025-02-15,EFT20250215015,444.1,PAYER EFT
2025-02-15,EFT20250215021,122.93,PAYER EFT
2025-02-15,EFT20250215026,52.15,PAYER EFT
2025-02-15,EFT20250215027,11.23,PAYER EFT
2025-02-15,EFT20250215031,42.06,PAYER EFT
2025-02-15,EFT20250215037,42.45,PAYER EFT
2025-02-15,EFT20250215038,111.03,PAYER EFT
2025-02-16,EFT20250216001,49.87,PAYER EFT
2025-02-16,EFT20250216016,66.8,PAYER EFT
2025-02-16,EFT20250216017,444.1,PAYER EFT
2025-02-16,EFT20250216020,133.61,PAYER EFT
2025-02-16,EFT20250216030,44.97,PAYER EFT
2025-02-17,EFT20250217000,175.59,PAYER EFT
2025-02-17,EFT20250217009,62.11,PAYER EFT
2025-02-17,EFT20250217021,106.89,PAYER EFT
2025-02-17,EFT20250217022,282.42,PAYER EFT
2025-02-17,EFT20250217024,465.45,PAYER EFT
2025-02-17,EFT20250217025,180.51,PAYER EFT
2025-02-17,EFT20250217028,34.16,PAYER EFT
2025-02-17,EFT20250217030,42.75,PAYER EFT
2025-02-17,EFT20250217031,65.27,PAYER EFT
2025-02-17,EFT20250217033,245.57,PAYER EFT
2025-02-18,EFT20250218014,226.45,PAYER EFT
2025-02-18,EFT20250218015,41.72,PAYER EFT
2025-02-18,EFT20250218016,245.54,PAYER EFT
2025-02-18,EFT20250218022,119.24,PAYER EFT
2025-02-18,EFT20250218025,33.65,PAYER EFT
2025-02-18,EFT20250218030,20.7,PAYER EFT
2025-02-18,EFT20250218035,291.15,PAYER EFT
2025-02-18,EFT20250218038,352.62,PAYER EFT
2025-02-18,EFT20250218039,59.36,PAYER EFT
2025-02-19,EFT20250219000,76.22,PAYER EFT
2025-02-19,EFT20250219014,59.36,PAYER EFT
2025-02-19,EFT20250219015,49.62,PAYER EFT
2025-02-19,EFT20250219016,416.09,PAYER EFT
2025-02-19,EFT20250219018,33.65,PAYER EFT
2025-02-19,EFT20250219023,43.62,PAYER EFT
2025-02-19,EFT20250219028,25.88,PAYER EFT
2025-02-19,EFT20250219032,384.32,PAYER EFT
2025-02-19,EFT20250219035,84.11,PAYER EFT
2025-02-19,EFT20250219036,30.54,PAYER EFT
2025-02-19,EFT20250219038,113.23,PAYER EFT
2025-02-19,EFT20250219039,129.82,PAYER EFT
2025-02-20,EFT20250220004,51.76,PAYER EFT
2025-02-20,EFT20250220006,149.46,PAYER EFT
2025-02-20,EFT20250220009,355.04,PAYER EFT
2025-02-20,EFT20250220023,28.98,PAYER EFT
2025-02-20,EFT20250220029,62.11,PAYER EFT
2025-02-20,EFT20250220033,64.7,PAYER EFT
2025-02-21,EFT20250221002,28.98,PAYER EFT
2025-02-21,EFT20250221007,88.82,PAYER EFT
2025-02-21,EFT20250221009,407.93,PAYER EFT
2025-02-21,EFT20250221014,350.51,PAYER EFT
2025-02-21,EFT20250221018,60.98,PAYER EFT
2025-02-21,EFT20250221023,73.29,PAYER EFT
2025-02-21,EFT20250221029,64.7,PAYER EFT
2025-02-21,EFT20250221039,84.11,PAYER EFT
2025-02-22,EFT20250222005,485.25,PAYER EFT
2025-02-22,EFT20250222008,343.56,PAYER EFT
2025-02-22,EFT20250222010,226.45,PAYER EFT
2025-02-22,EFT20250222013,113.23,PAYER EFT
2025-02-22,EFT20250222014,36.23,PAYER EFT
2025-02-22,EFT20250222017,282.42,PAYER EFT
2025-02-22,EFT20250222018,44.41,PAYER EFT
2025-02-22,EFT20250222022,65.27,PAYER EFT
2025-02-22,EFT20250222026,38.51,PAYER EFT
2025-02-22,EFT20250222027,85.4,PAYER EFT
2025-02-22,EFT20250222037,111.03,PAYER EFT
2025-02-23,EFT20250223005,489.6,PAYER EFT
2025-02-23,EFT20250223019,64.7,PAYER EFT
2025-02-23,EFT20250223023,59.36,PAYER EFT
2025-02-23,EFT20250223024,468.67,PAYER EFT
2025-02-23,EFT20250223035,23.91,PAYER EFT
2025-02-23,EFT20250223039,76.35,PAYER EFT
2025-02-24,EFT20250224002,42.75,PAYER EFT
2025-02-24,EFT20250224005,81.59,PAYER EFT
2025-02-24,EFT20250224010,93.94,PAYER EFT
2025-02-24,EFT20250224011,56.61,PAYER EFT
2025-02-24,EFT20250224016,255.63,PAYER EFT
2025-02-24,EFT20250224017,84.11,PAYER EFT
2025-02-24,EFT20250224019,95.63,PAYER EFT
2025-02-24,EFT20250224023,196.43,PAYER EFT
2025-02-24,EFT20250224033,55.51,PAYER EFT
2025-02-24,EFT20250224039,73.29,PAYER EFT
2025-02-25,EFT20250225007,90.58,PAYER EFT
2025-02-25,EFT20250225009,137.48,PAYER EFT
2025-02-25,EFT20250225019,640.53,PAYER EFT
2025-02-25,EFT20250225021,113.23,PAYER EFT
2025-02-25,EFT20250225022,53.44,PAYER EFT
2025-02-25,EFT20250225023,119.57,PAYER EFT
2025-02-25,EFT20250225024,23.91,PAYER EFT
2025-02-25,EFT20250225026,420.55,PAYER EFT
2025-02-25,EFT20250225032,42.06,PAYER EFT
2025-02-26,EFT20250226002,23.91,PAYER EFT
2025-02-26,EFT20250226012,616.52,PAYER EFT
2025-02-26,EFT20250226016,95.39,PAYER EFT
2025-02-26,EFT20250226021,510.42,PAYER EFT
2025-02-26,EFT20250226026,533.45,PAYER EFT
2025-02-26,EFT20250226030,90.58,PAYER EFT
2025-02-26,EFT20250226035,113.23,PAYER EFT
2025-02-27,EFT20250227019,119.57,PAYER EFT
2025-02-27,EFT20250227021,85.4,PAYER EFT
2025-02-27,EFT20250227022,44.97,PAYER EFT
2025-02-27,EFT20250227025,149.46,PAYER EFT
2025-02-27,EFT20250227029,42.75,PAYER EFT
2025-02-27,EFT20250227032,18.11,PAYER EFT
2025-02-27,EFT20250227036,195.31,PAYER EFT
2025-02-27,EFT20250227039,65.59,PAYER EFT
2025-02-28,EFT20250228009,44.41,PAYER EFT
2025-02-28,EFT20250228011,105.94,PAYER EFT
2025-02-28,EFT20250228015,93.94,PAYER EFT
2025-02-28,EFT20250228019,44.13,PAYER EFT
2025-02-28,EFT20250228021,512.42,PAYER EFT
2025-02-28,EFT20250228023,44.97,PAYER EFT
2025-02-28,EFT20250228025,271.41,PAYER EFT
2025-02-28,EFT20250228026,226.45,PAYER EFT
2025-02-28,EFT20250228033,113.23,PAYER EFT
2025-02-28,EFT20250228035,75.15,PAYER EFT
2025-03-01,EFT20250301000,109.83,PAYER EFT
2025-03-01,EFT20250301001,23.42,PAYER EFT
2025-03-01,EFT20250301004,27.88,PAYER EFT
2025-03-01,EFT20250301008,424.03,PAYER EFT
2025-03-01,EFT20250301010,282.1,PAYER EFT
2025-03-01,EFT20250301016,62.11,PAYER EFT
2025-03-01,EFT20250301022,74.73,PAYER EFT
2025-03-01,EFT20250301025,35.98,PAYER EFT
2025-03-01,EFT20250301028,407.93,PAYER EFT
2025-03-01,EFT20250301030,38.51,PAYER EFT
2025-03-02,EFT20250302003,84.11,PAYER EFT
2025-03-02,EFT20250302005,50.21,PAYER EFT
2025-03-02,EFT20250302008,47.23,PAYER EFT
2025-03-02,EFT20250302012,111.03,PAYER EFT
2025-03-02,EFT20250302013,555.13,PAYER EFT
2025-03-02,EFT20250302015,84.11,PAYER EFT
2025-03-02,EFT20250302024,98.34,PAYER EFT
2025-03-02,EFT20250302027,84.11,PAYER EFT
2025-03-02,EFT20250302037,539.02,PAYER EFT
2025-03-02,EFT20250302039,149.46,PAYER EFT
2025-03-03,EFT20250303006,555.13,PAYER EFT
2025-03-03,EFT20250303008,397,PAYER EFT
2025-03-03,EFT20250303012,40.79,PAYER EFT
2025-03-03,EFT20250303019,30.54,PAYER EFT
2025-03-03,EFT20250303025,81.99,PAYER EFT
2025-03-03,EFT20250303034,323.5,PAYER EFT
2025-03-03,EFT20250303035,17.58,PAYER EFT
2025-03-03,EFT20250303038,47.23,PAYER EFT
2025-03-04,EFT20250304000,116.05,PAYER EFT
2025-03-04,EFT20250304003,835.04,PAYER EFT
2025-03-04,EFT20250304017,95.11,PAYER EFT
2025-03-04,EFT20250304021,113.23,PAYER EFT
2025-03-04,EFT20250304022,186.01,PAYER EFT
2025-03-04,EFT20250304026,45.29,PAYER EFT
2025-03-04,EFT20250304031,55.22,PAYER EFT
2025-03-04,EFT20250304033,70.2,PAYER EFT
2025-03-04,EFT20250304034,28.98,PAYER EFT
2025-03-04,EFT20250304038,79.4,PAYER EFT
2025-03-05,EFT20250305008,311.78,PAYER EFT
2025-03-05,EFT20250305010,56.94,PAYER EFT
2025-03-05,EFT20250305011,79.4,PAYER EFT
2025-03-05,EFT20250305012,28.25,PAYER EFT
2025-03-05,EFT20250305014,60.25,PAYER EFT
2025-03-05,EFT20250305022,43.93,PAYER EFT
2025-03-05,EFT20250305026,86.28,PAYER EFT
2025-03-05,EFT20250305030,33.65,PAYER EFT
2025-03-05,EFT20250305031,147.12,PAYER EFT
2025-03-06,EFT20250306000,26.07,PAYER EFT
2025-03-06,EFT20250306002,45.28,PAYER EFT
2025-03-06,EFT20250306003,53.44,PAYER EFT
2025-03-06,EFT20250306009,35.98,PAYER EFT
2025-03-06,EFT20250306016,84.11,PAYER EFT
2025-03-06,EFT20250306017,28.98,PAYER EFT
2025-03-06,EFT20250306018,555.13,PAYER EFT
2025-03-06,EFT20250306029,65.27,PAYER EFT
2025-03-06,EFT20250306032,22.64,PAYER EFT
2025-03-06,EFT20250306034,44.97,PAYER EFT
2025-03-07,EFT20250307002,519.15,PAYER EFT
2025-03-07,EFT20250307004,111.03,PAYER EFT
2025-03-07,EFT20250307014,27.88,PAYER EFT
2025-03-07,EFT20250307018,425.26,PAYER EFT
2025-03-07,EFT20250307022,186.01,PAYER EFT
2025-03-07,EFT20250307026,62.76,PAYER EFT
2025-03-07,EFT20250307031,40.27,PAYER EFT
2025-03-07,EFT20250307036,51.76,PAYER EFT
2025-03-07,EFT20250307039,129.82,PAYER EFT
2025-03-08,EFT20250308001,197.34,PAYER EFT
2025-03-08,EFT20250308009,85.4,PAYER EFT
2025-03-08,EFT20250308015,44.97,PAYER EFT
2025-03-08,EFT20250308016,109.83,PAYER EFT
2025-03-08,EFT20250308023,67.29,PAYER EFT
2025-03-08,EFT20250308024,113.23,PAYER EFT
2025-03-08,EFT20250308028,36.23,PAYER EFT
2025-03-08,EFT20250308031,81.99,PAYER EFT
2025-03-08,EFT20250308035,148.81,PAYER EFT
2025-03-08,EFT20250308036,470.69,PAYER EFT
2025-03-08,EFT20250308039,301.65,PAYER EFT
2025-03-09,EFT20250309001,49.69,PAYER EFT
2025-03-09,EFT20250309003,93.94,PAYER EFT
2025-03-09,EFT20250309010,342.04,PAYER EFT
2025-03-09,EFT20250309013,16.05,PAYER EFT
2025-03-09,EFT20250309015,84.11,PAYER EFT
2025-03-09,EFT20250309019,174.9,PAYER EFT
2025-03-09,EFT20250309020,382.44,PAYER EFT
2025-03-09,EFT20250309026,85.4,PAYER EFT
2025-03-09,EFT20250309028,81.99,PAYER EFT
2025-03-09,EFT20250309029,149.27,PAYER EFT
2025-03-09,EFT20250309031,555.13,PAYER EFT
2025-03-09,EFT20250309038,80.64,PAYER EFT
2025-03-10,EFT20250310003,79.4,PAYER EFT
2025-03-10,EFT20250310005,127.4,PAYER EFT
2025-03-10,EFT20250310008,53.73,PAYER EFT
2025-03-10,EFT20250310012,99.25,PAYER EFT
2025-03-10,EFT20250310014,119.24,PAYER EFT
2025-03-10,EFT20250310015,240.04,PAYER EFT
2025-03-10,EFT20250310016,98.34,PAYER EFT
2025-03-10,EFT20250310018,267.21,PAYER EFT
2025-03-10,EFT20250310019,12.84,PAYER EFT
2025-03-10,EFT20250310029,16.05,PAYER EFT
2025-03-10,EFT20250310030,40.79,PAYER EFT
2025-03-10,EFT20250310032,73.29,PAYER EFT
2025-03-10,EFT20250310036,725.93,PAYER EFT
2025-03-10,EFT20250310038,84.11,PAYER EFT
2025-03-10,EFT20250310039,94.55,PAYER EFT
2025-03-11,EFT20250311000,33.65,PAYER EFT
2025-03-11,EFT20250311001,30.81,PAYER EFT
2025-03-11,EFT20250311002,143.48,PAYER EFT
2025-03-11,EFT20250311005,47.23,PAYER EFT
2025-03-11,EFT20250311006,239.13,PAYER EFT
2025-03-11,EFT20250311012,114.63,PAYER EFT
2025-03-11,EFT20250311014,113.23,PAYER EFT
2025-03-11,EFT20250311017,56.94,PAYER EFT
2025-03-11,EFT20250311019,372.36,PAYER EFT
2025-03-11,EFT20250311022,119.24,PAYER EFT
2025-03-11,EFT20250311025,186.01,PAYER EFT
2025-03-11,EFT20250311026,238.98,PAYER EFT
2025-03-11,EFT20250311028,31.6,PAYER EFT
2025-03-11,EFT20250311029,26.07,PAYER EFT
2025-03-11,EFT20250311033,17.58,PAYER EFT
2025-03-11,EFT20250311034,145.06,PAYER EFT
2025-03-11,EFT20250311035,119.24,PAYER EFT
2025-03-11,EFT20250311036,22.64,PAYER EFT
2025-03-11,EFT20250311038,32.63,PAYER EFT
2025-03-12,EFT20250312004,55.51,PAYER EFT
2025-03-12,EFT20250312007,485.25,PAYER EFT
2025-03-12,EFT20250312010,59.36,PAYER EFT
2025-03-12,EFT20250312011,44.97,PAYER EFT
2025-03-12,EFT20250312014,47.23,PAYER EFT
2025-03-12,EFT20250312022,219.49,PAYER EFT
2025-03-12,EFT20250312025,224.75,PAYER EFT
2025-03-12,EFT20250312033,76.35,PAYER EFT
2025-03-12,EFT20250312036,113.23,PAYER EFT
2025-03-12,EFT20250312039,273.63,PAYER EFT
2025-03-13,EFT20250313000,54.91,PAYER EFT
2025-03-13,EFT20250313001,291.15,PAYER EFT
2025-03-13,EFT20250313002,84.11,PAYER EFT
2025-03-13,EFT20250313003,65.59,PAYER EFT
2025-03-13,EFT20250313015,41.72,PAYER EFT
2025-03-13,EFT20250313019,555.13,PAYER EFT
2025-03-13,EFT20250313024,55.51,PAYER EFT
2025-03-13,EFT20250313025,110.5,PAYER EFT
2025-03-13,EFT20250313028,21.97,PAYER EFT
2025-03-13,EFT20250313035,149.46,PAYER EFT
2025-03-13,EFT20250313038,112.32,PAYER EFT
2025-03-13,EFT20250313039,342.04,PAYER EFT
2025-03-14,EFT20250314005,138.84,PAYER EFT
2025-03-14,EFT20250314016,113.23,PAYER EFT
2025-03-14,EFT20250314018,135.02,PAYER EFT
2025-03-14,EFT20250314021,33.65,PAYER EFT
2025-03-14,EFT20250314026,496.25,PAYER EFT
2025-03-14,EFT20250314027,56.94,PAYER EFT
2025-03-14,EFT20250314029,325.72,PAYER EFT
2025-03-14,EFT20250314031,496.25,PAYER EFT
2025-03-14,EFT20250314032,55.51,PAYER EFT
2025-03-14,EFT20250314036,55.51,PAYER EFT
2025-03-15,EFT20250315000,98.34,PAYER EFT
2025-03-15,EFT20250315001,52.15,PAYER EFT
2025-03-15,EFT20250315003,179.35,PAYER EFT
2025-03-15,EFT20250315005,178.19,PAYER EFT
2025-03-15,EFT20250315007,68.32,PAYER EFT
2025-03-15,EFT20250315009,85.4,PAYER EFT
2025-03-15,EFT20250315011,85.4,PAYER EFT
2025-03-15,EFT20250315013,555.13,PAYER EFT
2025-03-15,EFT20250315016,81.59,PAYER EFT
2025-03-15,EFT20250315017,59.36,PAYER EFT
2025-03-15,EFT20250315018,84.11,PAYER EFT
2025-03-15,EFT20250315025,17.58,PAYER EFT
2025-03-15,EFT20250315029,496.25,PAYER EFT
2025-03-15,EFT20250315032,81.59,PAYER EFT
2025-03-15,EFT20250315036,332.87,PAYER EFT
2025-03-15,EFT20250315038,81.59,PAYER EFT
2025-03-16,EFT20250316000,65.27,PAYER EFT
2025-03-16,EFT20250316002,99.25,PAYER EFT
2025-03-16,EFT20250316008,29.89,PAYER EFT
2025-03-16,EFT20250316011,39.7,PAYER EFT
2025-03-16,EFT20250316013,465.45,PAYER EFT
2025-03-16,EFT20250316016,69.03,PAYER EFT
2025-03-16,EFT20250316017,84.11,PAYER EFT
2025-03-16,EFT20250316018,623.45,PAYER EFT
2025-03-16,EFT20250316019,332.87,PAYER EFT
2025-03-16,EFT20250316021,196.64,PAYER EFT
2025-03-16,EFT20250316024,47.23,PAYER EFT
2025-03-16,EFT20250316025,144.41,PAYER EFT
2025-03-16,EFT20250316026,485.99,PAYER EFT
2025-03-16,EFT20250316030,55.51,PAYER EFT
2025-03-16,EFT20250316031,42.75,PAYER EFT
2025-03-16,EFT20250316032,148.81,PAYER EFT
2025-03-16,EFT20250316034,42.06,PAYER EFT
2025-03-17,EFT20250317001,239.13,PAYER EFT
2025-03-17,EFT20250317007,342.04,PAYER EFT
2025-03-17,EFT20250317010,95.39,PAYER EFT
2025-03-17,EFT20250317013,25.88,PAYER EFT
2025-03-17,EFT20250317015,384.32,PAYER EFT
2025-03-17,EFT20250317017,67.29,PAYER EFT
2025-03-17,EFT20250317018,62.11,PAYER EFT
2025-03-17,EFT20250317020,85.4,PAYER EFT
2025-03-17,EFT20250317021,84.11,PAYER EFT
2025-03-17,EFT20250317025,111.03,PAYER EFT
2025-03-17,EFT20250317026,94.46,PAYER EFT
2025-03-17,EFT20250317030,98.34,PAYER EFT
2025-03-17,EFT20250317031,23.94,PAYER EFT
2025-03-17,EFT20250317032,20.7,PAYER EFT
2025-03-17,EFT20250317034,113.23,PAYER EFT
2025-03-17,EFT20250317035,23.91,PAYER EFT
2025-03-17,EFT20250317036,420.55,PAYER EFT
2025-03-17,EFT20250317037,70.2,PAYER EFT
2025-03-18,EFT20250318000,52.15,PAYER EFT
2025-03-18,EFT20250318003,23.91,PAYER EFT
2025-03-18,EFT20250318010,67.29,PAYER EFT
2025-03-18,EFT20250318011,31.6,PAYER EFT
2025-03-18,EFT20250318012,56.61,PAYER EFT
2025-03-18,EFT20250318018,35.98,PAYER EFT
2025-03-18,EFT20250318020,315.58,PAYER EFT
2025-03-18,EFT20250318021,81.99,PAYER EFT
2025-03-18,EFT20250318022,555.13,PAYER EFT
2025-03-18,EFT20250318023,492.37,PAYER EFT
2025-03-18,EFT20250318031,84.11,PAYER EFT
2025-03-18,EFT20250318033,180.43,PAYER EFT
2025-03-18,EFT20250318036,184.01,PAYER EFT
2025-03-18,EFT20250318039,35.15,PAYER EFT
2025-03-19,EFT20250319003,113.23,PAYER EFT
2025-03-19,EFT20250319005,384.32,PAYER EFT
2025-03-19,EFT20250319006,85.4,PAYER EFT
2025-03-19,EFT20250319010,226.45,PAYER EFT
2025-03-19,EFT20250319014,343.56,PAYER EFT
2025-03-19,EFT20250319015,149.46,PAYER EFT
2025-03-19,EFT20250319016,25.1,PAYER EFT
2025-03-19,EFT20250319017,342.04,PAYER EFT
2025-03-19,EFT20250319019,98.34,PAYER EFT
2025-03-19,EFT20250319023,115.33,PAYER EFT
2025-03-19,EFT20250319026,62.34,PAYER EFT
2025-03-19,EFT20250319028,90.61,PAYER EFT
2025-03-19,EFT20250319030,145.06,PAYER EFT
2025-03-19,EFT20250319031,29.28,PAYER EFT
2025-03-19,EFT20250319034,83.47,PAYER EFT
2025-03-19,EFT20250319036,53.06,PAYER EFT
2025-03-20,EFT20250320001,44.13,PAYER EFT
2025-03-20,EFT20250320006,34.9,PAYER EFT
2025-03-20,EFT20250320007,81.59,PAYER EFT
2025-03-20,EFT20250320011,70.2,PAYER EFT
2025-03-20,EFT20250320014,444.1,PAYER EFT
2025-03-20,EFT20250320017,352.62,PAYER EFT
2025-03-20,EFT20250320019,219.49,PAYER EFT
2025-03-20,EFT20250320022,186.01,PAYER EFT
2025-03-20,EFT20250320024,144.04,PAYER EFT
2025-03-20,EFT20250320026,62.76,PAYER EFT
2025-03-20,EFT20250320029,70.2,PAYER EFT
2025-03-21,EFT20250321005,496.25,PAYER EFT
2025-03-21,EFT20250321011,76.22,PAYER EFT
2025-03-21,EFT20250321014,62.11,PAYER EFT
2025-03-21,EFT20250321015,84.11,PAYER EFT
2025-03-21,EFT20250321016,922.63,PAYER EFT
2025-03-21,EFT20250321021,42.45,PAYER EFT
2025-03-21,EFT20250321026,23.94,PAYER EFT
2025-03-21,EFT20250321032,226.45,PAYER EFT
2025-03-21,EFT20250321033,56.61,PAYER EFT
2025-03-22,EFT20250322001,225.94,PAYER EFT
2025-03-22,EFT20250322007,84.11,PAYER EFT
2025-03-22,EFT20250322009,40.79,PAYER EFT
2025-03-22,EFT20250322012,29.89,PAYER EFT
2025-03-22,EFT20250322015,43.62,PAYER EFT
2025-03-22,EFT20250322016,35.98,PAYER EFT
2025-03-22,EFT20250322019,48.71,PAYER EFT
2025-03-22,EFT20250322022,336.44,PAYER EFT
2025-03-22,EFT20250322023,68.32,PAYER EFT
2025-03-22,EFT20250322032,213.77,PAYER EFT
2025-03-22,EFT20250322035,66.8,PAYER EFT
2025-03-22,EFT20250322036,92.59,PAYER EFT
2025-03-23,EFT20250323000,267.21,PAYER EFT
